label,outcome,score_term,fe_spec,estimate,se,pvalue,n,r2
FOMC PC -> UST10Y [fwd/curr],UST10Y,net_score_fwd,B,-0.07453279247710028,0.03203358610074996,0.022360136121930434,91,0.1150962354645867
FOMC PC -> UST10Y [fwd/curr],UST10Y,net_score_curr,B,0.06333624328717988,0.03866962686008457,0.10514343403133246,91,0.1150962354645867
FOMC PC -> UST10Y [fwd/curr],UST10Y,net_score_fwd,C,-0.07495735039006994,0.032438043238814586,0.023295804592057243,91,0.11540568374945859
FOMC PC -> UST10Y [fwd/curr],UST10Y,net_score_curr,C,0.0661746805441695,0.041944052045221634,0.11839574516004231,91,0.11540568374945859
FOMC PC -> TIPS5Y [fwd/curr],TIPS5Y,net_score_fwd,A,-0.0899218638935638,0.041099843071588094,0.031358631568508585,91,0.08627443215300856
FOMC PC -> TIPS5Y [fwd/curr],TIPS5Y,net_score_curr,A,0.03176231211978408,0.030794647888684534,0.30520126025132027,91,0.08627443215300856
FOMC PC -> TIPS5Y [fwd/curr],TIPS5Y,net_score_fwd,B,-0.09594125910487808,0.043911737977069897,0.031651102411533905,91,0.1023583771040476
FOMC PC -> TIPS5Y [fwd/curr],TIPS5Y,net_score_curr,B,0.03521697625162677,0.03386326845300656,0.3013003782685751,91,0.1023583771040476
FOMC PC -> TIPS5Y [fwd/curr],TIPS5Y,net_score_fwd,C,-0.09580137048220135,0.04483712115185701,0.03553500155238129,91,0.10237650207710536
FOMC PC -> TIPS5Y [fwd/curr],TIPS5Y,net_score_curr,C,0.03428173263396102,0.04049531361897228,0.3996454908785476,91,0.10237650207710536
FOMC PC -> TIPS10Y [fwd/curr],TIPS10Y,net_score_fwd,A,-0.07236834275706144,0.03212661238642965,0.026800623629756846,91,0.08256264600265084
FOMC PC -> TIPS10Y [fwd/curr],TIPS10Y,net_score_curr,A,0.030977286055900638,0.029892775944763698,0.30294331081021275,91,0.08256264600265084
FOMC PC -> TIPS10Y [fwd/curr],TIPS10Y,net_score_fwd,B,-0.07428398678849897,0.03347808878467985,0.02915912557522697,91,0.10501189615423034
FOMC PC -> TIPS10Y [fwd/curr],TIPS10Y,net_score_curr,B,0.03998796888136845,0.03367116776658439,0.23829808640066324,91,0.10501189615423034
FOMC PC -> TIPS10Y [fwd/curr],TIPS10Y,net_score_fwd,C,-0.07474064873770221,0.03412676565963339,0.031289785945014685,91,0.1053290664388109
FOMC PC -> TIPS10Y [fwd/curr],TIPS10Y,net_score_curr,C,0.04304104185650464,0.03793685807444989,0.2597935972475417,91,0.1053290664388109
ECB Stmt -> SX5E [fwd/curr],SX5E,net_score_fwd,A,-0.47773944433122983,0.23485800274341298,0.04299513361304589,253,0.2097154302760873
ECB Stmt -> SX5E [fwd/curr],SX5E,net_score_curr,A,0.8057869875599571,0.3760677346714506,0.033109881313156474,253,0.2097154302760873
