label,outcome,score_term,fe_spec,estimate,se,pvalue,n,r2,stars,coef_print,se_print,significant_10
ECB Stmt -> SX7E [fwd/curr],SX7E,net_score_curr,C,1.2674097549807737,0.7207267937819022,0.07991333446393481,253,0.12297483708389112,*,1.2674*,(0.7207),TRUE
ECB Stmt -> SX7E [fwd/curr],SX7E,net_score_fwd,C,-0.8640533349518317,0.43088544002055673,0.04603571723523479,253,0.12297483708389112,**,-0.8641**,(0.4309),TRUE
ECB stmt | OIS_10Y FE fwd+curr,OIS_10Y,net_score_curr,A,-2.6708973394535422,3.1969317817531056,0.4052883168822146,113,0.03192570700539299,,-2.6709,(3.1969),FALSE
ECB stmt | OIS_10Y FE fwd+curr,OIS_10Y,net_score_fwd,A,0.5795079536856601,1.4374081200941635,0.6876189627827162,113,0.03192570700539299,,0.5795,(1.4374),FALSE
ECB stmt | OIS_10Y FE fwd+curr,OIS_10Y,net_score_curr,B,-2.826464419862714,3.335266370732497,0.39863712169452115,113,0.03532925970105027,,-2.8265,(3.3353),FALSE
ECB stmt | OIS_10Y FE fwd+curr,OIS_10Y,net_score_fwd,B,0.44419689307777144,1.4342965406974797,0.7573939417526645,113,0.03532925970105027,,0.4442,(1.4343),FALSE
ECB stmt | OIS_10Y FE fwd+curr,OIS_10Y,net_score_curr,C,-2.7514373261799,3.285839588607875,0.4042730953181119,113,0.0447471081109948,,-2.7514,(3.2858),FALSE
ECB stmt | OIS_10Y FE fwd+curr,OIS_10Y,net_score_fwd,C,0.8850195484721921,1.6022989296205872,0.5818757621773314,113,0.0447471081109948,,0.8850,(1.6023),FALSE
ECB stmt | OIS_MP2 FE  fwd+curr,OIS_MP2,net_score_curr,A,-2.609784872523641,5.05793987197243,0.6063449141450076,244,0.21594182957102023,,-2.6098,(5.0579),FALSE
ECB stmt | OIS_MP2 FE  fwd+curr,OIS_MP2,net_score_fwd,A,0.8694123458942687,2.3302164416299287,0.709400594816728,244,0.21594182957102023,,0.8694,(2.3302),FALSE
ECB stmt | OIS_MP2 FE  fwd+curr,OIS_MP2,net_score_curr,B,-3.019155826663847,5.259166496768399,0.5664615006104943,244,0.2342376725803298,,-3.0192,(5.2592),FALSE
