corpus,outcome,score,method,control,n,coef,se,t,p,stars,coef_print,se_print,r2,adj_r2,status,missing
ECB statements,OIS_MP2,rf_score,Random Forest,OIS_MP1,243,-0.7118932578297513,1.7754146257645367,-0.4009729600617618,0.6887967801358862,,-0.7119,(1.7754),0.20806973946696866,0.20147032062919334,ok,NA
ECB statements,OIS_MP2,bert_score,RoBERTa/BERT,OIS_MP1,244,-3.778397774495646,2.3311978031127683,-1.62079672923957,0.10636886807537249,,-3.7784,(2.3312),0.2275388429495149,0.22112837691590093,ok,NA
ECB statements,OIS_5Y,net_score,Dictionary,OIS_MP1,112,-1.0554665291403078,1.0093013939273614,-1.0457396923165934,0.29799474639771095,,-1.0555,(1.0093),0.023387149275847396,0.005467647427697897,ok,NA
ECB statements,OIS_5Y,rf_score,Random Forest,OIS_MP1,112,-0.4830741237586554,2.0615280932717512,-0.23432817885687499,0.8151697989732559,,-0.4831,(2.0615),0.015515036517874475,-0.0025489077662010917,ok,NA
ECB statements,OIS_5Y,bert_score,RoBERTa/BERT,OIS_MP1,112,-3.134022956747374,2.579879021277532,-1.2147945430384697,0.22706949799310408,,-3.1340,(2.5799),0.032297080394604806,0.014541063521111397,ok,NA
ECB statements,OIS_10Y,net_score,Dictionary,OIS_MP1,113,-0.6497242597012072,0.7540568450651354,-0.8616383021429691,0.39076100036819916,,-0.6497,(0.7541),0.01584009337960171,-0.002053723104405547,ok,NA
ECB statements,OIS_10Y,rf_score,Random Forest,OIS_MP1,113,-0.6278860746791058,1.4963102604798846,-0.4196229159571059,0.6755793581243195,,-0.6279,(1.4963),0.013531402284238065,-0.004404390401502978,ok,NA
ECB statements,OIS_10Y,bert_score,RoBERTa/BERT,OIS_MP1,113,-1.4037635163672249,2.026619353479371,-0.6926626423246155,0.4899810329595705,,-1.4038,(2.0266),0.016070725554526703,-0.0018188976172091031,ok,NA
ECB statements,DE2Y,net_score,Dictionary,OIS_MP1,253,-0.4189526856402564,0.8475010221171614,-0.49433885589147875,0.6215009802307679,,-0.4190,(0.8475),0.11669036563207821,0.1096238885571349,ok,NA
ECB statements,DE2Y,rf_score,Random Forest,OIS_MP1,252,-0.9296966572759319,1.6560297987252226,-0.5614009228527126,0.5750291610765002,,-0.9297,(1.6560),0.11616787971757593,0.10906882654261663,ok,NA
ECB statements,DE2Y,bert_score,RoBERTa/BERT,OIS_MP1,253,-4.1992195651602735,2.330009908920551,-1.8022324922668214,0.07271330440711295,*,-4.1992*,(2.3300),0.1379257996599455,0.131029206057225,ok,NA
ECB statements,DE10Y,net_score,Dictionary,OIS_MP1,253,-0.15101418794656646,0.7096723105114964,-0.21279425124776669,0.8316608582209182,,-0.1510,(0.7097),0.03567005258119554,0.02795541300184501,ok,NA
ECB statements,DE10Y,rf_score,Random Forest,OIS_MP1,252,-0.43994018540921287,1.2160468370448039,-0.3617789808806548,0.7178240164351272,,-0.4399,(1.2160),0.043524019738580874,0.03584148174451318,ok,NA
ECB statements,DE10Y,bert_score,RoBERTa/BERT,OIS_MP1,253,-2.5418434695702867,1.9371892989815114,-1.3121296255903725,0.19067988920602075,,-2.5418,(1.9372),0.05155397173209887,0.0439664035059556,ok,NA
ECB statements,IT10Y_spread,net_score,Dictionary,OIS_MP1,233,1.3950469553517755,1.2852342110775228,1.085441815451043,0.27886238740560343,,1.3950,(1.2852),0.019542693294641023,0.011016977584159648,ok,NA
ECB statements,IT10Y_spread,rf_score,Random Forest,OIS_MP1,232,0.0929396071632378,1.0910947891897131,0.08518014024451363,0.9321926020411165,,0.0929,(1.0911),0.004982426507907051,-0.003707683304251086,ok,NA
ECB statements,IT10Y_spread,bert_score,RoBERTa/BERT,OIS_MP1,233,0.4479152063969128,3.2282580359066158,0.1387482665310307,0.8897704817594957,,0.4479,(3.2283),0.00513336675784807,-0.0035176474442575323,ok,NA
ECB press conferences,SX5E,net_score,Dictionary,OIS_MP1,243,0.17371496371249706,0.11395093486324341,1.5244715975430883,0.12870756850235154,,0.1737,(0.1140),0.012280008431761254,0.004049008502025941,ok,NA
ECB press conferences,SX5E,rf_score,Random Forest,OIS_MP1,231,0.19106730498962285,0.12365275144881321,1.5451925068462087,0.12368654864055387,,0.1911,(0.1237),0.010350636529658548,0.001669501762374792,ok,NA
ECB press conferences,SX5E,bert_score,RoBERTa/BERT,OIS_MP1,243,0.4553504679747211,0.1876889265048095,2.4260912801536687,0.016000444149814472,**,0.4554**,(0.1877),0.022128776206152317,0.013979849341203554,ok,NA
ECB press conferences,SX7E,net_score,Dictionary,OIS_MP1,243,0.38152286034761124,0.19794914963313656,1.9273781223849449,0.055112848072876475,*,0.3815*,(0.1979),0.0190427167020026,0.010868072674519391,ok,NA
ECB press conferences,SX7E,rf_score,Random Forest,OIS_MP1,231,0.08482535068457324,0.17088868626779607,0.4963778032189048,0.6201060874201899,,0.0848,(0.1709),8.90121596091561e-4,-0.007874000144293625,ok,NA
ECB press conferences,SX7E,bert_score,RoBERTa/BERT,OIS_MP1,243,0.6707073267423307,0.31201968835502975,2.1495673246720584,0.032589544875331874,**,0.6707**,(0.3120),0.01635124552265359,0.008154172568675677,ok,NA
ECB press conferences,EURUSD,net_score,Dictionary,OIS_MP1,243,0.012368372190795607,0.07681611081176937,0.16101273626183882,0.8722188208682997,,0.0124,(0.0768),0.016583024149893637,0.0083878826844761,ok,NA
ECB press conferences,EURUSD,rf_score,Random Forest,OIS_MP1,231,-0.15933015942071446,0.08204627834173919,-1.9419547436030238,0.053374413852365854,*,-0.1593*,(0.0820),0.041223509469899215,0.03281318937752986,ok,NA
ECB press conferences,EURUSD,bert_score,RoBERTa/BERT,OIS_MP1,243,-0.03540664327333038,0.1350726258855182,-0.26213041348096355,0.7934457467532089,,-0.0354,(0.1351),0.016726758213229716,0.008532814531673316,ok,NA
ECB press conferences,OIS_MP2,net_score,Dictionary,OIS_MP1,235,-0.7188429925958899,0.7816168405655135,-0.9196871859564776,0.35869149213628504,,-0.7188,(0.7816),0.07208964752935429,0.06409042035288326,ok,NA
ECB press conferences,OIS_MP2,rf_score,Random Forest,OIS_MP1,224,0.5963044483214032,0.9429563359430356,0.632377582706466,0.5277938756505413,,0.5963,(0.9430),0.08027660292319463,0.07195331426186613,ok,NA
ECB press conferences,OIS_MP2,bert_score,RoBERTa/BERT,OIS_MP1,235,1.7724071885242152,1.3217653292454494,1.3409393856139515,0.18125152126656044,,1.7724,(1.3218),0.07452023095753693,0.06654195708648125,ok,NA
ECB press conferences,OIS_5Y,net_score,Dictionary,OIS_MP1,104,-0.8159642411444529,1.5664335551476798,-0.5209057469836476,0.6035726164409204,,-0.8160,(1.5664),0.09946211466043567,0.08162968128737491,ok,NA
ECB press conferences,OIS_5Y,rf_score,Random Forest,OIS_MP1,104,-1.3850547248335494,1.698509374344087,-0.8154530941982087,0.41673186842972876,,-1.3851,(1.6985),0.1086365700720895,0.09098580908341802,ok,NA
ECB press conferences,OIS_5Y,bert_score,RoBERTa/BERT,OIS_MP1,104,0.4788057432326501,2.2991696630312277,0.2082515922732697,0.8354519051237168,,0.4788,(2.2992),0.09533504228757876,0.0774208847091149,ok,NA
ECB press conferences,OIS_10Y,net_score,Dictionary,OIS_MP1,105,-0.6996533163543085,1.2421878269561453,-0.563242773090715,0.5745056637945449,,-0.6997,(1.2422),0.02332532278690318,0.0041748389199797176,ok,NA
ECB press conferences,OIS_10Y,rf_score,Random Forest,OIS_MP1,105,-1.539282315371363,1.342776470099148,-1.14634293171499,0.25433543066395375,,-1.5393,(1.3428),0.042784872348281586,0.0240159482766793,ok,NA
ECB press conferences,OIS_10Y,bert_score,RoBERTa/BERT,OIS_MP1,105,0.2017246945209532,1.9746303960112013,0.10215820384839701,0.918831666662131,,0.2017,(1.9746),0.018759063841419402,-4.809545146311489e-4,ok,NA
ECB press conferences,DE2Y,net_score,Dictionary,OIS_MP1,243,-0.35838647933924284,0.8568757354909327,-0.4182479028116151,0.6761398713401405,,-0.3584,(0.8569),0.056498742734182233,0.048636232256967116,ok,NA
ECB press conferences,DE2Y,rf_score,Random Forest,OIS_MP1,231,0.853525286156809,1.1426039442761782,0.7470001223367945,0.45583312305524104,,0.8535,(1.1426),0.059326944620482935,0.05107542659083797,ok,NA
ECB press conferences,DE2Y,bert_score,RoBERTa/BERT,OIS_MP1,243,2.3181161977572633,1.4044620514327593,1.6505367271350917,0.10014119616329706,,2.3181,(1.4045),0.06492768280982839,0.05713541349991036,ok,NA
ECB press conferences,DE10Y,net_score,Dictionary,OIS_MP1,243,-0.5830383506512195,0.5947905206697238,-0.980241497451453,0.3279540079381206,,-0.5830,(0.5948),0.009185043827808428,9.282525263735186e-4,ok,NA
ECB press conferences,DE10Y,rf_score,Random Forest,OIS_MP1,231,-0.6263420969591553,0.7944203184901295,-0.7884265827308865,0.431266210820494,,-0.6263,(0.7944),0.009296981749479504,6.066043964046974e-4,ok,NA
ECB press conferences,DE10Y,bert_score,RoBERTa/BERT,OIS_MP1,243,0.28431212036943865,1.0212910344769612,0.27838501540850674,0.7809565175202053,,0.2843,(1.0213),0.004956372067158786,-0.0033356581656147632,ok,NA
ECB press conferences,IT10Y_spread,net_score,Dictionary,OIS_MP1,220,-1.2648256495212813,1.028005953948798,-1.2303680194290767,0.21989140332658946,,-1.2648,(1.0280),0.007977609873205017,-0.0011654536302676544,ok,NA
ECB press conferences,IT10Y_spread,rf_score,Random Forest,OIS_MP1,215,0.1210397019070109,0.939054003786051,0.12889535790168244,0.8975626493514464,,0.1210,(0.9391),9.960880186977021e-5,-0.009333413756603237,ok,NA
ECB press conferences,IT10Y_spread,bert_score,RoBERTa/BERT,OIS_MP1,220,-2.7840014224291463,1.8323071571210532,-1.5193966860902341,0.13011831569624788,,-2.7840,(1.8323),0.010575283757730024,0.0014561619490455202,ok,NA
