corpus,central_bank,document_type,meeting_date,event_id,source,is_scheduled,is_fomc_intermeeting
ECB Press Conference,ECB,Press Conference,2012-11-08,ecb_pressconf_20121108,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2012-12-06,ecb_pressconf_20121206,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2013-01-10,ecb_pressconf_20130110,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2013-02-07,ecb_pressconf_20130207,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2013-03-07,ecb_pressconf_20130307,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2013-04-04,ecb_pressconf_20130404,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2013-05-02,ecb_pressconf_20130502,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2013-06-06,ecb_pressconf_20130606,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2013-07-04,ecb_pressconf_20130704,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2013-08-01,ecb_pressconf_20130801,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2013-09-05,ecb_pressconf_20130905,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2013-11-07,ecb_pressconf_20131107,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2013-12-05,ecb_pressconf_20131205,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2014-01-09,ecb_pressconf_20140109,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2014-02-06,ecb_pressconf_20140206,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2014-03-06,ecb_pressconf_20140306,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2014-04-03,ecb_pressconf_20140403,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2014-05-08,ecb_pressconf_20140508,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2014-06-05,ecb_pressconf_20140605,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2014-07-03,ecb_pressconf_20140703,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2014-08-07,ecb_pressconf_20140807,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2014-09-04,ecb_pressconf_20140904,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2014-10-02,ecb_pressconf_20141002,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2014-11-06,ecb_pressconf_20141106,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2014-12-04,ecb_pressconf_20141204,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2015-01-22,ecb_pressconf_20150122,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2015-03-05,ecb_pressconf_20150305,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2015-07-16,ecb_pressconf_20150716,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2015-09-03,ecb_pressconf_20150903,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2015-10-22,ecb_pressconf_20151022,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2015-12-03,ecb_pressconf_20151203,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2016-01-21,ecb_pressconf_20160121,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2016-03-10,ecb_pressconf_20160310,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2016-04-21,ecb_pressconf_20160421,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2016-06-02,ecb_pressconf_20160602,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2016-07-21,ecb_pressconf_20160721,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2016-09-08,ecb_pressconf_20160908,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2016-10-20,ecb_pressconf_20161020,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2016-12-08,ecb_pressconf_20161208,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2017-01-19,ecb_pressconf_20170119,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2017-03-09,ecb_pressconf_20170309,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2017-04-27,ecb_pressconf_20170427,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2017-06-08,ecb_pressconf_20170608,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2017-07-20,ecb_pressconf_20170720,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2017-09-07,ecb_pressconf_20170907,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2017-10-26,ecb_pressconf_20171026,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2017-12-14,ecb_pressconf_20171214,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2018-01-25,ecb_pressconf_20180125,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2018-03-08,ecb_pressconf_20180308,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2018-04-26,ecb_pressconf_20180426,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2018-06-14,ecb_pressconf_20180614,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2018-07-26,ecb_pressconf_20180726,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2018-09-13,ecb_pressconf_20180913,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2018-10-25,ecb_pressconf_20181025,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2018-12-13,ecb_pressconf_20181213,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2019-04-10,ecb_pressconf_20190410,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2019-06-06,ecb_pressconf_20190606,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2019-07-25,ecb_pressconf_20190725,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2019-09-12,ecb_pressconf_20190912,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2019-10-24,ecb_pressconf_20191024,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2019-12-12,ecb_pressconf_20191212,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2020-01-23,ecb_pressconf_20200123,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2020-03-12,ecb_pressconf_20200312,ecb_press_conferences,FALSE,FALSE
ECB Press Conference,ECB,Press Conference,2020-04-30,ecb_pressconf_20200430,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2020-06-04,ecb_pressconf_20200604,ecb_press_conferences,TRUE,FALSE
