corpus_long,meeting_date,rate_label,net_score,comparison_score,other_score,comparison
FOMC statements,2010-08-10,neutral,-0.2222222222222222,bert_score,-0.2631578947368421,Dictionary vs RoBERTa/BERT
FOMC statements,2010-09-21,neutral,-0.2,rf_score,0.01465709919369108,Dictionary vs Random Forest
FOMC statements,2010-09-21,neutral,-0.2,bert_score,-0.3,Dictionary vs RoBERTa/BERT
FOMC statements,2010-11-03,neutral,-0.3,rf_score,0.04372375312769555,Dictionary vs Random Forest
FOMC statements,2010-11-03,neutral,-0.3,bert_score,-0.4,Dictionary vs RoBERTa/BERT
FOMC statements,2010-12-14,neutral,-0.23809523809523808,rf_score,0.01308608856995953,Dictionary vs Random Forest
FOMC statements,2010-12-14,neutral,-0.23809523809523808,bert_score,-0.4,Dictionary vs RoBERTa/BERT
FOMC statements,2011-01-26,neutral,-0.2,rf_score,0.02507148765213281,Dictionary vs Random Forest
FOMC statements,2011-01-26,neutral,-0.2,bert_score,-0.29411764705882354,Dictionary vs RoBERTa/BERT
FOMC statements,2011-03-15,neutral,-0.04761904761904761,rf_score,0.02130831368977921,Dictionary vs Random Forest
FOMC statements,2011-03-15,neutral,-0.04761904761904761,bert_score,-0.15789473684210523,Dictionary vs RoBERTa/BERT
FOMC statements,2011-04-27,neutral,0.05263157894736842,rf_score,0.02700233937936777,Dictionary vs Random Forest
FOMC statements,2011-04-27,neutral,0.05263157894736842,bert_score,-0.1111111111111111,Dictionary vs RoBERTa/BERT
FOMC statements,2011-06-22,neutral,-0.06666666666666667,rf_score,0.01967241331465469,Dictionary vs Random Forest
FOMC statements,2011-06-22,neutral,-0.06666666666666667,bert_score,-0.2222222222222222,Dictionary vs RoBERTa/BERT
FOMC statements,2011-08-09,neutral,-0.2222222222222222,rf_score,0.01428937283408353,Dictionary vs Random Forest
FOMC statements,2011-08-09,neutral,-0.2222222222222222,bert_score,-0.3333333333333333,Dictionary vs RoBERTa/BERT
