corpus_long,bank,meeting_date,score_component,score
FOMC statements,FOMC,2007-01-31,Economic score,0.09090909090909093
FOMC statements,FOMC,2007-01-31,Aggregate net score,0.09090909090909093
FOMC statements,FOMC,2007-03-21,Policy score,0
FOMC statements,FOMC,2007-03-21,Economic score,0.16666666666666666
FOMC statements,FOMC,2007-03-21,Aggregate net score,0.16666666666666666
FOMC statements,FOMC,2007-05-09,Policy score,0
FOMC statements,FOMC,2007-05-09,Economic score,0
FOMC statements,FOMC,2007-05-09,Aggregate net score,0
FOMC statements,FOMC,2007-06-28,Policy score,0
FOMC statements,FOMC,2007-06-28,Economic score,0
FOMC statements,FOMC,2007-06-28,Aggregate net score,0
FOMC statements,FOMC,2007-08-07,Policy score,0
FOMC statements,FOMC,2007-08-07,Economic score,0.06666666666666667
FOMC statements,FOMC,2007-08-07,Aggregate net score,0.06666666666666667
FOMC statements,FOMC,2007-08-17,Policy score,-0.09090909090909093
FOMC statements,FOMC,2007-08-17,Economic score,0
FOMC statements,FOMC,2007-08-17,Aggregate net score,-0.09090909090909093
FOMC statements,FOMC,2007-09-18,Policy score,-0.16666666666666666
FOMC statements,FOMC,2007-09-18,Economic score,0.09090909090909093
FOMC statements,FOMC,2007-09-18,Aggregate net score,-0.07692307692307693
FOMC statements,FOMC,2007-10-31,Policy score,-0.16666666666666666
FOMC statements,FOMC,2007-10-31,Economic score,0.125
FOMC statements,FOMC,2007-10-31,Aggregate net score,0
FOMC statements,FOMC,2007-12-11,Policy score,-0.2307692307692308
FOMC statements,FOMC,2007-12-11,Economic score,0.07692307692307693
FOMC statements,FOMC,2007-12-11,Aggregate net score,-0.125
FOMC statements,FOMC,2008-01-22,Policy score,-0.2307692307692308
FOMC statements,FOMC,2008-01-22,Economic score,-0.3333333333333333
FOMC statements,FOMC,2008-01-22,Aggregate net score,-0.4444444444444444
FOMC statements,FOMC,2008-01-30,Policy score,-0.16666666666666666
FOMC statements,FOMC,2008-01-30,Economic score,-0.2307692307692308
FOMC statements,FOMC,2008-01-30,Aggregate net score,-0.3333333333333333
FOMC statements,FOMC,2008-03-11,Policy score,0
FOMC statements,FOMC,2008-03-11,Economic score,0
FOMC statements,FOMC,2008-03-11,Aggregate net score,0
FOMC statements,FOMC,2008-03-18,Policy score,-0.16666666666666666
FOMC statements,FOMC,2008-03-18,Economic score,-0.07692307692307693
FOMC statements,FOMC,2008-03-18,Aggregate net score,-0.2
FOMC statements,FOMC,2008-04-30,Policy score,-0.2307692307692308
FOMC statements,FOMC,2008-04-30,Economic score,0.09090909090909093
FOMC statements,FOMC,2008-04-30,Aggregate net score,-0.14285714285714285
FOMC statements,FOMC,2008-06-25,Policy score,-0.09090909090909093
FOMC statements,FOMC,2008-06-25,Economic score,0
FOMC statements,FOMC,2008-06-25,Aggregate net score,-0.06666666666666667
FOMC statements,FOMC,2008-08-05,Policy score,-0.09090909090909093
FOMC statements,FOMC,2008-08-05,Economic score,0
FOMC statements,FOMC,2008-08-05,Aggregate net score,-0.06666666666666667
FOMC statements,FOMC,2008-09-16,Policy score,-0.09090909090909093
FOMC statements,FOMC,2008-09-16,Economic score,0
FOMC statements,FOMC,2008-09-16,Aggregate net score,-0.06666666666666667
FOMC statements,FOMC,2008-10-08,Policy score,-0.2307692307692308
FOMC statements,FOMC,2008-10-08,Economic score,0.1111111111111111
FOMC statements,FOMC,2008-10-08,Aggregate net score,-0.04761904761904761
FOMC statements,FOMC,2008-10-29,Policy score,-0.2857142857142857
FOMC statements,FOMC,2008-10-29,Economic score,-0.2307692307692308
FOMC statements,FOMC,2008-10-29,Aggregate net score,-0.4117647058823529
FOMC statements,FOMC,2008-12-16,Policy score,0
FOMC statements,FOMC,2008-12-16,Economic score,0
FOMC statements,FOMC,2008-12-16,Aggregate net score,0
FOMC statements,FOMC,2009-01-28,Policy score,-0.09090909090909093
FOMC statements,FOMC,2009-01-28,Economic score,-0.16666666666666666
FOMC statements,FOMC,2009-01-28,Aggregate net score,-0.2307692307692308
FOMC statements,FOMC,2009-03-18,Policy score,-0.16666666666666666
FOMC statements,FOMC,2009-03-18,Economic score,-0.09090909090909093
FOMC statements,FOMC,2009-03-18,Aggregate net score,-0.2307692307692308
FOMC statements,FOMC,2009-04-29,Policy score,-0.16666666666666666
FOMC statements,FOMC,2009-04-29,Economic score,-0.09090909090909093
FOMC statements,FOMC,2009-04-29,Aggregate net score,-0.2307692307692308
FOMC statements,FOMC,2009-06-24,Policy score,-0.16666666666666666
FOMC statements,FOMC,2009-06-24,Economic score,0
FOMC statements,FOMC,2009-06-24,Aggregate net score,-0.14285714285714285
FOMC statements,FOMC,2009-08-12,Policy score,-0.16666666666666666
FOMC statements,FOMC,2009-08-12,Economic score,0
FOMC statements,FOMC,2009-08-12,Aggregate net score,-0.14285714285714285
FOMC statements,FOMC,2009-09-23,Policy score,-0.2307692307692308
FOMC statements,FOMC,2009-09-23,Economic score,0
FOMC statements,FOMC,2009-09-23,Aggregate net score,-0.2
FOMC statements,FOMC,2009-11-04,Policy score,-0.2307692307692308
FOMC statements,FOMC,2009-11-04,Economic score,-0.07692307692307693
FOMC statements,FOMC,2009-11-04,Aggregate net score,-0.25
